patch,interaction_type,n_noeuds,n_arretes,n_interactions,s2_partners,n_s2_partners,ids_interactions,avg_contacts,s2_seq_clusters,n_s2_seq_clusters,binding_site_clusters,n_binding_site_clusters
0_62063_1,hetero,2,1,1,['Actin-related protein 3'],1,[np.int64(2371)],67.0,7715,1,"['6685_106', '7715_11']",2
0_7797_24,homo,1,1,1,[],0,[np.int64(1011)],29.0,6685,1,"['6685_57', '6685_58']",2
0_65426_1,hetero,2,1,1,['Actin-related protein 2/3 complex subunit 1'],1,[np.int64(1731)],11.0,10005,1,"['10005_6', '6685_145']",2
0_65427_0,hetero,2,1,1,['Actin-related protein 2/3 complex subunit 2'],1,[np.int64(1782)],26.0,14619,1,"['14619_5', '6685_146']",2
0_3962_1,hetero,2,1,1,['Gelsolin'],1,[np.int64(44)],56.0,9986,1,"['6685_280', '9986_1']",2
0_78572_1,hetero,2,1,1,['Inositol-trisphosphate 3-kinase A'],1,[np.int64(314)],30.0,65149,1,"['65149_1', '6685_241']",2
0_78571_1,hetero,2,1,1,['Inositol-trisphosphate 3-kinase A'],1,[np.int64(432)],30.0,65142,1,"['65142_1', '6685_241']",2
0_74516_2,hetero,2,1,1,['Inverted formin-2'],1,[np.int64(2918)],18.0,62746,1,"['62746_3', '6685_217']",2
0_74515_2,hetero,2,1,1,['Inverted formin-2'],1,[np.int64(3018)],15.0,62728,1,"['62728_3', '6685_26']",2
0_74514_2,hetero,2,1,1,['Inverted formin-2'],1,[np.int64(3017)],53.0,62727,1,"['62727_3', '6685_215']",2
0_54455_6,hetero,2,1,1,['Isoform 2 of F-actin-capping protein subunit beta'],1,[np.int64(4201)],74.0,18205,1,"['18205_17', '6685_89']",2
0_71860_1,hetero,2,1,1,['Src substrate cortactin'],1,[np.int64(4417)],149.0,61415,1,"['61415_3', '6685_188']",2
0_71885_0,hetero,2,1,1,['Actin-related protein 2/3 complex subunit 5-like protein'],1,[np.int64(4415)],15.0,61437,1,"['61437_3', '6685_186']",2
0_62065_3,hetero,2,1,1,['Actin-related protein 2/3 complex subunit 2'],1,[np.int64(4318)],47.0,16098,1,"['16098_9', '6685_183']",2
0_62130_1,hetero,2,1,1,['Actin-related protein 2/3 complex subunit 1B'],1,[np.int64(4250)],18.0,10300,1,"['10300_11', '6685_145']",2
0_62063_6,hetero,2,1,1,['Actin-related protein 3'],1,[np.int64(4249)],42.0,7715,1,"['6685_182', '7715_13']",2
0_62063_5,hetero,2,1,1,['Actin-related protein 3'],1,[np.int64(4316)],72.0,7715,1,"['6685_106', '7715_11']",2
0_68025_4,hetero,2,1,1,['Dematin actin binding protein'],1,[np.int64(473)],27.0,58988,1,"['58988_17', '6685_168']",2
0_68025_3,hetero,2,1,1,['Dematin actin binding protein'],1,[np.int64(485)],12.0,58988,1,"['58988_16', '6685_167']",2
0_68021_6,hetero,2,1,1,['Beta-adducin'],1,[np.int64(4539)],80.0,58917,1,"['58917_17', '6685_166']",2
0_68021_5,hetero,2,1,1,['Beta-adducin'],1,[np.int64(4559)],69.0,58917,1,"['58917_16', '6685_151']",2
0_68021_4,hetero,2,1,1,['Beta-adducin'],1,[np.int64(204)],106.0,58917,1,"['58917_14', '6685_150']",2
0_68021_3,hetero,2,1,1,['Beta-adducin'],1,[np.int64(186)],71.0,58917,1,"['58917_11', '6685_157']",2
0_68021_2,hetero,2,1,1,['Beta-adducin'],1,[np.int64(185)],86.0,58917,1,"['58917_8', '6685_152']",2
0_68021_1,hetero,2,1,1,['Beta-adducin'],1,[np.int64(203)],94.0,58917,1,"['58917_7', '6685_156']",2
0_68021_0,hetero,2,1,1,['Beta-adducin'],1,[np.int64(221)],128.0,58917,1,"['58917_6', '6685_155']",2
0_68016_4,hetero,2,1,1,['Adducin 1'],1,[np.int64(184)],48.0,58915,1,"['58915_13', '6685_154']",2
0_68016_3,hetero,2,1,1,['Adducin 1'],1,[np.int64(183)],16.0,58915,1,"['58915_12', '6685_153']",2
0_65427_1,hetero,2,1,1,['Actin-related protein 2/3 complex subunit 2'],1,[np.int64(1732)],15.0,14619,1,"['14619_6', '6685_147']",2
0_62131_1,hetero,2,1,1,['Actin-related protein 2/3 complex subunit 3'],1,[np.int64(4319)],22.0,29503,1,"['29503_3', '6685_185']",2
0_78734_1,hetero,2,1,1,['Tropomyosin alpha-1 chain'],1,[np.int64(3253)],26.0,65196,1,"['65196_3', '6685_130']",2
0_37640_2,hetero,2,1,1,['F-actin-capping protein subunit alpha-1'],1,[np.int64(712)],66.0,17396,1,"['17396_10', '6685_92']",2
0_7797_40,homo,1,1,1,[],0,[np.int64(3048)],77.0,6685,1,"['6685_3', '6685_4']",2
0_74512_10,hetero,2,1,1,['Inverted formin-2'],1,[np.int64(3150)],32.0,62741,1,"['62741_9', '6685_210']",2
0_74512_11,hetero,2,1,1,['Inverted formin-2'],1,[np.int64(3132)],24.0,62741,1,"['62741_10', '6685_202']",2
0_74512_12,hetero,2,1,1,['Inverted formin-2'],1,[np.int64(3133)],99.0,62741,1,"['62741_2', '6685_211']",2
0_74514_0,hetero,2,1,1,['Inverted formin-2'],1,[np.int64(3065)],20.0,62727,1,"['62727_0', '6685_212']",2
0_74514_1,hetero,2,1,1,['Inverted formin-2'],1,[np.int64(3046)],25.0,62727,1,"['62727_1', '6685_213']",2
0_74515_0,hetero,2,1,1,['Inverted formin-2'],1,[np.int64(3047)],24.0,62728,1,"['62728_0', '6685_214']",2
0_74515_1,hetero,2,1,1,['Inverted formin-2'],1,[np.int64(3030)],111.0,62728,1,"['62728_1', '6685_211']",2
0_74512_8,hetero,2,1,1,['Inverted formin-2'],1,[np.int64(3169)],15.0,62741,1,"['62741_8', '6685_209']",2
0_8920_1,hetero,2,1,1,['Profilin-1'],1,[np.int64(3019)],77.0,35233,1,"['35233_0', '6685_5']",2
0_74516_0,hetero,2,1,1,['Inverted formin-2'],1,[np.int64(2949)],22.0,62746,1,"['62746_0', '6685_214']",2
0_7797_41,homo,1,1,1,[],0,[np.int64(2950)],82.0,6685,1,"['6685_3', '6685_4']",2
0_74516_1,hetero,2,1,1,['Inverted formin-2'],1,[np.int64(2933)],74.0,62746,1,"['62746_1', '6685_200']",2
0_7797_42,homo,1,1,1,[],0,[np.int64(2934)],48.0,6685,1,"['6685_1', '6685_216']",2
0_74517_1,hetero,2,1,1,['Protein diaphanous homolog 1'],1,[np.int64(2697)],85.0,5616,1,"['5616_2', '6685_200']",2
0_74512_9,hetero,2,1,1,['Inverted formin-2'],1,[np.int64(3149)],75.0,62741,1,"['62741_2', '6685_200']",2
0_73850_2,hetero,2,1,1,['Isoform 2 of Inverted formin-2'],1,[np.int64(1170)],83.0,62333,1,"['62333_0', '6685_200']",2
0_54455_1,hetero,2,1,1,['Isoform 2 of F-actin-capping protein subunit beta'],1,[np.int64(729)],74.0,18205,1,"['18205_10', '6685_89']",2
0_64117_8,hetero,2,1,1,['Tropomyosin-1.9'],1,[np.int64(168)],25.0,57138,1,"['57138_22', '6685_161']",2
0_7797_26,homo,1,1,1,[],0,[np.int64(992)],20.0,6685,1,"['6685_61', '6685_62']",2
0_7797_27,homo,1,1,1,[],0,[np.int64(1012)],25.0,6685,1,"['6685_43', '6685_64']",2
0_7797_17,homo,1,1,1,[],0,[np.int64(546)],37.0,6685,1,"['6685_17', '6685_21']",2
0_7797_16,homo,1,1,1,[],0,[np.int64(530)],10.0,6685,1,"['6685_35', '6685_36']",2
0_62427_1,hetero,2,1,1,"['Maltose/maltodextrin-binding periplasmic protein,TccC3']",1,[np.int64(2230)],70.0,55985,1,"['55985_1', '6685_120']",2
0_64117_7,hetero,2,1,1,['Tropomyosin-1.9'],1,[np.int64(447)],32.0,57138,1,"['57138_22', '6685_161']",2
0_68030_3,hetero,2,1,1,['Tropomodulin-1'],1,[np.int64(482)],159.0,59014,1,"['59014_0', '6685_162']",2
0_73850_1,hetero,2,1,1,['Isoform 2 of Inverted formin-2'],1,[np.int64(1169)],25.0,62333,1,"['62333_2', '6685_202']",2
0_68030_4,hetero,2,1,1,['Tropomodulin-1'],1,[np.int64(470)],172.0,59014,1,"['59014_1', '6685_164']",2
0_71860_0,hetero,2,1,1,['Src substrate cortactin'],1,[np.int64(4434)],38.0,61415,1,"['61415_2', '6685_187']",2
0_73848_0,hetero,2,1,1,['Cell division control protein 12'],1,[np.int64(1148)],67.0,62347,1,"['62347_1', '6685_0']",2
0_73848_1,hetero,2,1,1,['Cell division control protein 12'],1,[np.int64(1134)],27.0,62347,1,"['62347_2', '6685_199']",2
0_73848_2,hetero,2,1,1,['Cell division control protein 12'],1,[np.int64(1135)],93.0,62347,1,"['62347_3', '6685_52']",2
0_73850_0,hetero,2,1,1,['Isoform 2 of Inverted formin-2'],1,[np.int64(1178)],72.0,62333,1,"['62333_0', '6685_200']",2
0_74517_2,hetero,2,1,1,['Protein diaphanous homolog 1'],1,[np.int64(2677)],17.0,5616,1,"['5616_3', '6685_201']",2
0_74517_3,hetero,2,1,1,['Protein diaphanous homolog 1'],1,[np.int64(2678)],77.0,5616,1,"['5616_4', '6685_211']",2
0_74517_4,hetero,2,1,1,['Protein diaphanous homolog 1'],1,[np.int64(2642)],37.0,5616,1,"['5616_5', '6685_102']",2
0_54455_7,hetero,2,1,1,['F-actin-capping protein subunit beta'],1,[np.int64(1712)],9.0,18205,1,"['18205_16', '6685_279']",2
0_86523_1,hetero,2,1,1,['Adenylyl cyclase-associated protein 1'],1,[np.int64(2208)],88.0,69254,1,"['6685_65', '69254_0']",2
0_86523_2,hetero,2,1,1,['Adenylyl cyclase-associated protein 1'],1,[np.int64(2209)],22.0,69254,1,"['6685_276', '69254_1']",2
0_7797_52,homo,1,1,1,[],0,[np.int64(1992)],32.0,6685,1,"['6685_216', '6685_277']",2
0_86523_3,hetero,2,1,1,['Adenylyl cyclase-associated protein 1'],1,[np.int64(1995)],12.0,69254,1,"['6685_208', '69254_1']",2
0_37640_1,hetero,2,1,1,['F-actin-capping protein subunit alpha-1'],1,[np.int64(1828)],33.0,17396,1,"['17396_17', '6685_278']",2
0_37640_5,hetero,2,1,1,['F-actin-capping protein subunit alpha-1'],1,[np.int64(1711)],50.0,17396,1,"['17396_17', '6685_92']",2
0_17163_3,hetero,2,1,1,['PHOSPHATASE AND ACTIN REGULATOR 1'],1,[np.int64(911)],20.0,39476,1,"['39476_3', '6685_63']",2
0_74517_5,hetero,2,1,1,['Protein diaphanous homolog 1'],1,[np.int64(2625)],49.0,5616,1,"['5616_5', '6685_224']",2
0_17163_4,hetero,2,1,1,['PHOSPHATASE AND ACTIN REGULATOR 1'],1,[np.int64(965)],24.0,39476,1,"['39476_4', '6685_24']",2
0_5810_1,hetero,2,1,1,['MAL'],1,[np.int64(501)],123.0,35713,1,"['35713_1', '6685_14']",2
0_5810_2,hetero,2,1,1,['MAL'],1,[np.int64(545)],86.0,35713,1,"['35713_2', '6685_14']",2
0_5810_3,hetero,2,1,1,['MAL'],1,[np.int64(529)],57.0,35713,1,"['35713_3', '6685_0']",2
0_5810_0,hetero,2,1,1,['MAL'],1,[np.int64(515)],88.0,35713,1,"['35713_0', '6685_14']",2
0_5810_4,hetero,2,1,1,['MAL'],1,[np.int64(561)],55.0,35713,1,"['35713_4', '6685_0']",2
0_7797_51,homo,1,1,1,[],0,[np.int64(1801)],57.0,6685,1,"['6685_17', '6685_23']",2
0_84583_5,hetero,2,1,1,"['Coronin-1B,Methylated-DNA--protein-cysteine methyltransferase']",1,[np.int64(2434)],61.0,67859,1,"['6685_260', '67859_5']",2
0_84583_4,hetero,2,1,1,"['Coronin-1B,Methylated-DNA--protein-cysteine methyltransferase']",1,[np.int64(2471)],36.0,67859,1,"['6685_44', '67859_4']",2
0_64117_10,hetero,2,1,1,['Tropomyosin alpha-1 chain'],1,[np.int64(4018)],14.0,57138,1,"['57138_32', '6685_139']",2
0_64117_9,hetero,2,1,1,['Tropomyosin alpha-1 chain'],1,[np.int64(4042)],10.0,57138,1,"['57138_31', '6685_137']",2
0_78734_6,hetero,2,1,1,['Tropomyosin beta chain'],1,[np.int64(2425)],24.0,65196,1,"['65196_14', '6685_247']",2
0_78734_4,hetero,2,1,1,['Tropomyosin alpha-1 chain'],1,[np.int64(3213)],18.0,65196,1,"['65196_1', '6685_129']",2
0_78734_3,hetero,2,1,1,['Tropomyosin alpha-1 chain'],1,[np.int64(3230)],15.0,65196,1,"['65196_4', '6685_128']",2
0_78734_2,hetero,2,1,1,['Tropomyosin alpha-1 chain'],1,[np.int64(3242)],52.0,65196,1,"['65196_1', '6685_245']",2
0_7797_25,homo,1,1,1,[],0,[np.int64(968)],30.0,6685,1,"['6685_59', '6685_60']",2
0_78734_0,hetero,2,1,1,['Tropomyosin alpha-1 chain'],1,[np.int64(3266)],30.0,65196,1,"['65196_2', '6685_128']",2
0_78572_0,hetero,2,1,1,['Inositol-trisphosphate 3-kinase A'],1,[np.int64(362)],51.0,65149,1,"['65149_0', '6685_102']",2
0_78571_0,hetero,2,1,1,['Inositol-trisphosphate 3-kinase A'],1,[np.int64(462)],47.0,65142,1,"['65142_0', '6685_121']",2
0_76844_0,hetero,2,1,1,['Afadin'],1,[np.int64(796)],19.0,64173,1,"['64173_0', '6685_234']",2
0_76571_2,hetero,2,1,1,['Gelsolin'],1,[np.int64(1050)],122.0,1054,1,"['1054_7', '6685_232']",2
0_3733_2,hetero,2,1,1,['Deoxyribonuclease-1'],1,[np.int64(866)],38.0,19992,1,"['19992_6', '6685_228']",2
0_3733_1,hetero,2,1,1,['Deoxyribonuclease-1'],1,[np.int64(934)],34.0,19992,1,"['19992_6', '6685_228']",2
0_3962_2,hetero,2,1,1,['Gelsolin'],1,[np.int64(19)],42.0,9986,1,"['6685_280', '9986_1']",2
