Link to details,Interactor 1,Interactor 1 title,Interactor 1 source organism,Interactor 1 sequence length,SCOP family 1,Interactor 2,Interactor 2 title,Interactor 2 source organism,Interactor 2 sequence length,SCOP family 2,Interface type,"Buried surface area, Å2",No. of contacts,No. of members in cluster,pdb_id
20 Details,8iai_5,Dematin actin binding protein,Sus scrofa,405,,8iai_M,Spectrin beta chain,Sus scrofa,2148,,hetero,555.07,38,1,8iai
21 Details,8iai_5,Dematin actin binding protein,Sus scrofa,405,,8iai_N,Spectrin beta chain,Sus scrofa,2148,,hetero,435.34,32,1,8iai
22 Details,8iai_5,Dematin actin binding protein,Sus scrofa,405,,8iai_O,Spectrin beta chain,Sus scrofa,2148,,hetero,831.1,64,1,8iai
23 Details,8iai_5,Dematin actin binding protein,Sus scrofa,405,,8iai_P,Spectrin beta chain,Sus scrofa,2148,,hetero,212.21,14,1,8iai
24 Details,8iai_5,Dematin actin binding protein,Sus scrofa,405,,8iai_U,Tropomyosin-1.9,Sus scrofa,248,,hetero,207.81,15,1,8iai
25 Details,8iai_5,Dematin actin binding protein,Sus scrofa,405,,8iai_V,Tropomyosin 3,Sus scrofa,248,,hetero,307.98,21,1,8iai
26 Details,8iai_6,Dematin actin binding protein,Sus scrofa,405,,8iai_E,"Actin, cytoplasmic 1",Sus scrofa,375,,hetero,1245.54,101,1,8iai
27 Details,8iai_6,Dematin actin binding protein,Sus scrofa,405,,8iai_F,"Actin, cytoplasmic 1",Sus scrofa,375,,hetero,1212.13,113,1,8iai
28 Details,8iai_6,Dematin actin binding protein,Sus scrofa,405,,8iai_G,"Actin, cytoplasmic 1",Sus scrofa,375,,hetero,324.28,27,1,8iai
29 Details,8iai_6,Dematin actin binding protein,Sus scrofa,405,,8iai_O,Spectrin beta chain,Sus scrofa,2148,,hetero,635.75,47,1,8iai
30 Details,8iai_6,Dematin actin binding protein,Sus scrofa,405,,8iai_P,Spectrin beta chain,Sus scrofa,2148,,hetero,457.07,38,1,8iai
31 Details,8iai_6,Dematin actin binding protein,Sus scrofa,405,,8iai_Q,Spectrin beta chain,Sus scrofa,2148,,hetero,740.04,55,1,8iai
32 Details,8iai_6,Dematin actin binding protein,Sus scrofa,405,,8iai_R,Spectrin beta chain,Sus scrofa,2148,,hetero,217.59,16,1,8iai
33 Details,8iai_6,Dematin actin binding protein,Sus scrofa,405,,8iai_U,Tropomyosin-1.9,Sus scrofa,248,,hetero,120.52,9,1,8iai
34 Details,8iai_7,Dematin actin binding protein,Sus scrofa,405,,8iai_G,"Actin, cytoplasmic 1",Sus scrofa,375,,hetero,1332.02,101,1,8iai
35 Details,8iai_7,Dematin actin binding protein,Sus scrofa,405,,8iai_H,"Actin, cytoplasmic 1",Sus scrofa,375,,hetero,1213.28,103,1,8iai
36 Details,8iai_7,Dematin actin binding protein,Sus scrofa,405,,8iai_I,"Actin, cytoplasmic 1",Sus scrofa,375,,hetero,342.27,31,1,8iai
37 Details,8iai_7,Dematin actin binding protein,Sus scrofa,405,,8iai_Q,Spectrin beta chain,Sus scrofa,2148,,hetero,605.38,48,1,8iai
38 Details,8iai_7,Dematin actin binding protein,Sus scrofa,405,,8iai_R,Spectrin beta chain,Sus scrofa,2148,,hetero,378.76,31,1,8iai
39 Details,8iai_7,Dematin actin binding protein,Sus scrofa,405,,8iai_S,Spectrin beta chain,Sus scrofa,2148,,hetero,748.01,57,1,8iai
40 Details,8iai_7,Dematin actin binding protein,Sus scrofa,405,,8iai_T,Spectrin beta chain,Sus scrofa,2148,,hetero,223.15,14,1,8iai
41 Details,8iai_7,Dematin actin binding protein,Sus scrofa,405,,8iai_U,Tropomyosin-1.9,Sus scrofa,248,,hetero,113.47,7,1,8iai
42 Details,8iai_7,Dematin actin binding protein,Sus scrofa,405,,8iai_V,Tropomyosin 3,Sus scrofa,248,,hetero,269.09,18,1,8iai
43 Details,8iai_9,Adducin 1,Sus scrofa,744,,8iai_K,"Actin, cytoplasmic 1",Sus scrofa,375,,hetero,1385.18,103,1,8iai
44 Details,8iai_9,Adducin 1,Sus scrofa,744,,8iai_U,Tropomyosin-1.9,Sus scrofa,248,,hetero,358.11,24,1,8iai
45 Details,8iai_9,Adducin 1,Sus scrofa,744,,8iai_V,Tropomyosin 3,Sus scrofa,248,,hetero,246.4,16,1,8iai
46 Details,8iai_A,"Actin, cytoplasmic 1",Sus scrofa,375,,8iai_B,"Actin, cytoplasmic 1",Sus scrofa,375,,homo,428.18,33,1,8iai
47 Details,8iai_A,"Actin, cytoplasmic 1",Sus scrofa,375,,8iai_C,"Actin, cytoplasmic 1",Sus scrofa,375,,homo,1103.97,85,1,8iai
48 Details,8iai_A,"Actin, cytoplasmic 1",Sus scrofa,375,,8iai_M,Spectrin beta chain,Sus scrofa,2148,,hetero,368.95,31,1,8iai
49 Details,8iai_A,"Actin, cytoplasmic 1",Sus scrofa,375,,8iai_U,Tropomyosin-1.9,Sus scrofa,248,,hetero,318.24,25,1,8iai
50 Details,8iai_A,"Actin, cytoplasmic 1",Sus scrofa,375,,8iai_Y,Tropomodulin-1,Sus scrofa,359,,hetero,2493.73,216,1,8iai
51 Details,8iai_A,"Actin, cytoplasmic 1",Sus scrofa,375,,8iai_Z,SH3 domain-binding glutamic acid-rich-like protein,Sus scrofa,107,,hetero,690.49,48,1,8iai
52 Details,8iai_B,"Actin, cytoplasmic 1",Sus scrofa,375,,8iai_C,"Actin, cytoplasmic 1",Sus scrofa,375,,homo,385.24,28,1,8iai
53 Details,8iai_B,"Actin, cytoplasmic 1",Sus scrofa,375,,8iai_D,"Actin, cytoplasmic 1",Sus scrofa,375,,homo,1098.4,93,1,8iai
54 Details,8iai_B,"Actin, cytoplasmic 1",Sus scrofa,375,,8iai_N,Spectrin beta chain,Sus scrofa,2148,,hetero,381.07,30,1,8iai
55 Details,8iai_B,"Actin, cytoplasmic 1",Sus scrofa,375,,8iai_Y,Tropomodulin-1,Sus scrofa,359,,hetero,1917.33,173,1,8iai
56 Details,8iai_B,"Actin, cytoplasmic 1",Sus scrofa,375,,8iai_Z,SH3 domain-binding glutamic acid-rich-like protein,Sus scrofa,107,,hetero,648.37,80,1,8iai
57 Details,8iai_C,"Actin, cytoplasmic 1",Sus scrofa,375,,8iai_D,"Actin, cytoplasmic 1",Sus scrofa,375,,homo,375.12,32,1,8iai
58 Details,8iai_C,"Actin, cytoplasmic 1",Sus scrofa,375,,8iai_E,"Actin, cytoplasmic 1",Sus scrofa,375,,homo,1136.93,94,1,8iai
59 Details,8iai_C,"Actin, cytoplasmic 1",Sus scrofa,375,,8iai_M,Spectrin beta chain,Sus scrofa,2148,,hetero,1584.34,131,1,8iai
60 Details,8iai_C,"Actin, cytoplasmic 1",Sus scrofa,375,,8iai_O,Spectrin beta chain,Sus scrofa,2148,,hetero,381.88,33,1,8iai
61 Details,8iai_C,"Actin, cytoplasmic 1",Sus scrofa,375,,8iai_Y,Tropomodulin-1,Sus scrofa,359,,hetero,211.19,19,1,8iai
62 Details,8iai_D,"Actin, cytoplasmic 1",Sus scrofa,375,,8iai_E,"Actin, cytoplasmic 1",Sus scrofa,375,,homo,399.59,32,1,8iai
63 Details,8iai_D,"Actin, cytoplasmic 1",Sus scrofa,375,,8iai_F,"Actin, cytoplasmic 1",Sus scrofa,375,,homo,1145.99,86,1,8iai
64 Details,8iai_D,"Actin, cytoplasmic 1",Sus scrofa,375,,8iai_N,Spectrin beta chain,Sus scrofa,2148,,hetero,1173.15,98,1,8iai
65 Details,8iai_D,"Actin, cytoplasmic 1",Sus scrofa,375,,8iai_P,Spectrin beta chain,Sus scrofa,2148,,hetero,339.24,27,1,8iai
66 Details,8iai_E,"Actin, cytoplasmic 1",Sus scrofa,375,,8iai_F,"Actin, cytoplasmic 1",Sus scrofa,375,,homo,403.34,32,1,8iai
67 Details,8iai_E,"Actin, cytoplasmic 1",Sus scrofa,375,,8iai_G,"Actin, cytoplasmic 1",Sus scrofa,375,,homo,1112.28,88,1,8iai
68 Details,8iai_E,"Actin, cytoplasmic 1",Sus scrofa,375,,8iai_O,Spectrin beta chain,Sus scrofa,2148,,hetero,1582.13,129,1,8iai
69 Details,8iai_E,"Actin, cytoplasmic 1",Sus scrofa,375,,8iai_Q,Spectrin beta chain,Sus scrofa,2148,,hetero,350.04,29,1,8iai
70 Details,8iai_F,"Actin, cytoplasmic 1",Sus scrofa,375,,8iai_G,"Actin, cytoplasmic 1",Sus scrofa,375,,homo,386.28,30,1,8iai
71 Details,8iai_F,"Actin, cytoplasmic 1",Sus scrofa,375,,8iai_H,"Actin, cytoplasmic 1",Sus scrofa,375,,homo,1151.69,90,1,8iai
72 Details,8iai_F,"Actin, cytoplasmic 1",Sus scrofa,375,,8iai_P,Spectrin beta chain,Sus scrofa,2148,,hetero,1218.36,97,1,8iai
73 Details,8iai_F,"Actin, cytoplasmic 1",Sus scrofa,375,,8iai_R,Spectrin beta chain,Sus scrofa,2148,,hetero,343.54,27,1,8iai
74 Details,8iai_G,"Actin, cytoplasmic 1",Sus scrofa,375,,8iai_H,"Actin, cytoplasmic 1",Sus scrofa,375,,homo,392.06,32,1,8iai
75 Details,8iai_G,"Actin, cytoplasmic 1",Sus scrofa,375,,8iai_I,"Actin, cytoplasmic 1",Sus scrofa,375,,homo,1131.51,90,1,8iai
76 Details,8iai_G,"Actin, cytoplasmic 1",Sus scrofa,375,,8iai_Q,Spectrin beta chain,Sus scrofa,2148,,hetero,1581.5,127,1,8iai
77 Details,8iai_G,"Actin, cytoplasmic 1",Sus scrofa,375,,8iai_S,Spectrin beta chain,Sus scrofa,2148,,hetero,389.76,30,1,8iai
78 Details,8iai_H,"Actin, cytoplasmic 1",Sus scrofa,375,,8iai_I,"Actin, cytoplasmic 1",Sus scrofa,375,,homo,378.51,32,1,8iai
79 Details,8iai_H,"Actin, cytoplasmic 1",Sus scrofa,375,,8iai_J,"Actin, cytoplasmic 1",Sus scrofa,375,,homo,1127.86,91,1,8iai
80 Details,8iai_H,"Actin, cytoplasmic 1",Sus scrofa,375,,8iai_R,Spectrin beta chain,Sus scrofa,2148,,hetero,1218.28,100,1,8iai
81 Details,8iai_H,"Actin, cytoplasmic 1",Sus scrofa,375,,8iai_T,Spectrin beta chain,Sus scrofa,2148,,hetero,301.13,26,1,8iai
82 Details,8iai_I,"Actin, cytoplasmic 1",Sus scrofa,375,,8iai_J,"Actin, cytoplasmic 1",Sus scrofa,375,,homo,377.59,30,1,8iai
83 Details,8iai_I,"Actin, cytoplasmic 1",Sus scrofa,375,,8iai_K,"Actin, cytoplasmic 1",Sus scrofa,375,,homo,1175.05,99,1,8iai
84 Details,8iai_I,"Actin, cytoplasmic 1",Sus scrofa,375,,8iai_S,Spectrin beta chain,Sus scrofa,2148,,hetero,1456.31,119,1,8iai
85 Details,8iai_J,"Actin, cytoplasmic 1",Sus scrofa,375,,8iai_K,"Actin, cytoplasmic 1",Sus scrofa,375,,homo,353.84,29,1,8iai
86 Details,8iai_J,"Actin, cytoplasmic 1",Sus scrofa,375,,8iai_T,Spectrin beta chain,Sus scrofa,2148,,hetero,1535.98,127,1,8iai
87 Details,8iai_M,Spectrin beta chain,Sus scrofa,2148,,8iai_V,Tropomyosin 3,Sus scrofa,248,,hetero,267.3,26,1,8iai
88 Details,8iai_O,Spectrin beta chain,Sus scrofa,2148,,8iai_U,Tropomyosin-1.9,Sus scrofa,248,,hetero,222.36,15,1,8iai
89 Details,8iai_Q,Spectrin beta chain,Sus scrofa,2148,,8iai_V,Tropomyosin 3,Sus scrofa,248,,hetero,127.3,10,1,8iai
90 Details,8iai_S,Spectrin beta chain,Sus scrofa,2148,,8iai_U,Tropomyosin-1.9,Sus scrofa,248,,hetero,184.36,13,1,8iai
91 Details,8iai_S,Spectrin beta chain,Sus scrofa,2148,,8iai_V,Tropomyosin 3,Sus scrofa,248,,hetero,144.32,12,1,8iai
92 Details,8iai_U,Tropomyosin-1.9,Sus scrofa,248,,8iai_V,Tropomyosin 3,Sus scrofa,248,,hetero,5463.83,374,1,8iai
93 Details,8iai_U,Tropomyosin-1.9,Sus scrofa,248,,8iai_Y,Tropomodulin-1,Sus scrofa,359,,hetero,101.86,10,1,8iai
94 Details,8iai_V,Tropomyosin 3,Sus scrofa,248,,8iai_Y,Tropomodulin-1,Sus scrofa,359,,hetero,147.27,15,1,8iai
1 Details,8efi_M,Myosin-7,Homo sapiens,1935,,8efi_B,"Actin, alpha cardiac muscle 1",Sus scrofa,377,,hetero,164.41,15,1,8efi
2 Details,8efi_M,Myosin-7,Homo sapiens,1935,,8efi_F,"Actin, alpha cardiac muscle 1",Sus scrofa,377,,hetero,1226.32,107,1,8efi
3 Details,8efi_B,"Actin, alpha cardiac muscle 1",Sus scrofa,377,,8efi_D,"Actin, alpha cardiac muscle 1",Sus scrofa,377,,homo,394.19,33,1,8efi
4 Details,8efi_B,"Actin, alpha cardiac muscle 1",Sus scrofa,377,,8efi_F,"Actin, alpha cardiac muscle 1",Sus scrofa,377,,homo,1124.5,96,1,8efi
5 Details,8efi_B,"Actin, alpha cardiac muscle 1",Sus scrofa,377,,8efi_P,Tropomyosin alpha-1 chain,Homo sapiens,284,,hetero,225.57,20,1,8efi
6 Details,8efi_C,"Actin, alpha cardiac muscle 1",Sus scrofa,377,,8efi_E,"Actin, alpha cardiac muscle 1",Sus scrofa,377,,homo,386.12,34,1,8efi
7 Details,8efi_C,"Actin, alpha cardiac muscle 1",Sus scrofa,377,,8efi_F,"Actin, alpha cardiac muscle 1",Sus scrofa,377,,homo,1154.51,95,1,8efi
8 Details,8efi_C,"Actin, alpha cardiac muscle 1",Sus scrofa,377,,8efi_P,Tropomyosin alpha-1 chain,Homo sapiens,284,,hetero,188.17,17,1,8efi
9 Details,8efi_D,"Actin, alpha cardiac muscle 1",Sus scrofa,377,,8efi_E,"Actin, alpha cardiac muscle 1",Sus scrofa,377,,homo,1149.0,100,1,8efi
10 Details,8efi_D,"Actin, alpha cardiac muscle 1",Sus scrofa,377,,8efi_F,"Actin, alpha cardiac muscle 1",Sus scrofa,377,,homo,408.81,35,1,8efi
11 Details,8efi_E,"Actin, alpha cardiac muscle 1",Sus scrofa,377,,8efi_F,"Actin, alpha cardiac muscle 1",Sus scrofa,377,,homo,400.35,34,1,8efi
12 Details,8efi_F,"Actin, alpha cardiac muscle 1",Sus scrofa,377,,8efi_O,Tropomyosin alpha-1 chain,Homo sapiens,284,,hetero,285.56,20,1,8efi
13 Details,8efi_O,Tropomyosin alpha-1 chain,Homo sapiens,284,,8efi_P,Tropomyosin alpha-1 chain,Homo sapiens,284,,homo,3134.41,254,1,8efi
1 Details,6c1d_P,Unconventional myosin-Ib,Rattus norvegicus,729,,6c1d_R,Calmodulin,unidentified,148,,hetero,227.96,31,1,6c1d
2 Details,6c1d_P,Unconventional myosin-Ib,Rattus norvegicus,729,,6c1d_D,"Actin, alpha skeletal muscle",Oryctolagus cuniculus,375,,hetero,494.81,41,1,6c1d
3 Details,6c1d_P,Unconventional myosin-Ib,Rattus norvegicus,729,,6c1d_B,"Actin, alpha skeletal muscle",Oryctolagus cuniculus,375,,hetero,1184.36,106,1,6c1d
4 Details,6c1d_E,"Actin, alpha skeletal muscle",Oryctolagus cuniculus,375,,6c1d_D,"Actin, alpha skeletal muscle",Oryctolagus cuniculus,375,,homo,461.39,37,1,6c1d
5 Details,6c1d_E,"Actin, alpha skeletal muscle",Oryctolagus cuniculus,375,,6c1d_C,"Actin, alpha skeletal muscle",Oryctolagus cuniculus,375,,homo,1150.69,95,1,6c1d
7 Details,6c1d_D,"Actin, alpha skeletal muscle",Oryctolagus cuniculus,375,,6c1d_C,"Actin, alpha skeletal muscle",Oryctolagus cuniculus,375,,homo,421.15,37,1,6c1d
8 Details,6c1d_D,"Actin, alpha skeletal muscle",Oryctolagus cuniculus,375,,6c1d_B,"Actin, alpha skeletal muscle",Oryctolagus cuniculus,375,,homo,1153.5,95,1,6c1d
10 Details,6c1d_A,"Actin, alpha skeletal muscle",Oryctolagus cuniculus,375,,6c1d_C,"Actin, alpha skeletal muscle",Oryctolagus cuniculus,375,,homo,1171.92,96,1,6c1d
11 Details,6c1d_A,"Actin, alpha skeletal muscle",Oryctolagus cuniculus,375,,6c1d_B,"Actin, alpha skeletal muscle",Oryctolagus cuniculus,375,,homo,405.4,36,1,6c1d
12 Details,6c1d_C,"Actin, alpha skeletal muscle",Oryctolagus cuniculus,375,,6c1d_B,"Actin, alpha skeletal muscle",Oryctolagus cuniculus,375,,homo,425.72,35,1,6c1d
1 Details,8c4e_A,"Actin, alpha skeletal muscle",Gallus gallus,377,,8c4e_B,"Actin, alpha skeletal muscle",Gallus gallus,377,,homo,495.31,42,1,8c4e
2 Details,8c4e_A,"Actin, alpha skeletal muscle",Gallus gallus,377,,8c4e_C,"Actin, alpha skeletal muscle",Gallus gallus,377,,homo,1178.18,94,1,8c4e
3 Details,8c4e_A,"Actin, alpha skeletal muscle",Gallus gallus,377,,8c4e_M,Cell invasion protein SipA,Salmonella,261,,hetero,1137.73,110,1,8c4e
4 Details,8c4e_A,"Actin, alpha skeletal muscle",Gallus gallus,377,,8c4e_N,Cell invasion protein SipA,Salmonella,261,,hetero,877.18,71,1,8c4e
5 Details,8c4e_B,"Actin, alpha skeletal muscle",Gallus gallus,377,,8c4e_C,"Actin, alpha skeletal muscle",Gallus gallus,377,,homo,410.78,33,1,8c4e
6 Details,8c4e_B,"Actin, alpha skeletal muscle",Gallus gallus,377,,8c4e_D,"Actin, alpha skeletal muscle",Gallus gallus,377,,homo,1184.44,94,1,8c4e
7 Details,8c4e_B,"Actin, alpha skeletal muscle",Gallus gallus,377,,8c4e_M,Cell invasion protein SipA,Salmonella,261,,hetero,767.57,72,1,8c4e
8 Details,8c4e_B,"Actin, alpha skeletal muscle",Gallus gallus,377,,8c4e_N,Cell invasion protein SipA,Salmonella,261,,hetero,1167.89,116,1,8c4e
9 Details,8c4e_C,"Actin, alpha skeletal muscle",Gallus gallus,377,,8c4e_D,"Actin, alpha skeletal muscle",Gallus gallus,377,,homo,408.94,37,1,8c4e
10 Details,8c4e_C,"Actin, alpha skeletal muscle",Gallus gallus,377,,8c4e_E,"Actin, alpha skeletal muscle",Gallus gallus,377,,homo,1172.54,98,1,8c4e
11 Details,8c4e_C,"Actin, alpha skeletal muscle",Gallus gallus,377,,8c4e_K,Cell invasion protein SipA,Salmonella,261,,hetero,317.43,27,1,8c4e
12 Details,8c4e_C,"Actin, alpha skeletal muscle",Gallus gallus,377,,8c4e_M,Cell invasion protein SipA,Salmonella,261,,hetero,138.9,14,1,8c4e
13 Details,8c4e_C,"Actin, alpha skeletal muscle",Gallus gallus,377,,8c4e_N,Cell invasion protein SipA,Salmonella,261,,hetero,743.27,70,1,8c4e
14 Details,8c4e_D,"Actin, alpha skeletal muscle",Gallus gallus,377,,8c4e_E,"Actin, alpha skeletal muscle",Gallus gallus,377,,homo,422.76,36,1,8c4e
15 Details,8c4e_D,"Actin, alpha skeletal muscle",Gallus gallus,377,,8c4e_F,"Actin, alpha skeletal muscle",Gallus gallus,377,,homo,1181.88,96,1,8c4e
16 Details,8c4e_D,"Actin, alpha skeletal muscle",Gallus gallus,377,,8c4e_K,Cell invasion protein SipA,Salmonella,261,,hetero,787.57,65,1,8c4e
17 Details,8c4e_D,"Actin, alpha skeletal muscle",Gallus gallus,377,,8c4e_L,Cell invasion protein SipA,Salmonella,261,,hetero,301.03,26,1,8c4e
18 Details,8c4e_D,"Actin, alpha skeletal muscle",Gallus gallus,377,,8c4e_N,Cell invasion protein SipA,Salmonella,261,,hetero,152.09,16,1,8c4e
19 Details,8c4e_E,"Actin, alpha skeletal muscle",Gallus gallus,377,,8c4e_F,"Actin, alpha skeletal muscle",Gallus gallus,377,,homo,402.65,33,1,8c4e
20 Details,8c4e_E,"Actin, alpha skeletal muscle",Gallus gallus,377,,8c4e_G,"Actin, alpha skeletal muscle",Gallus gallus,377,,homo,1175.72,95,1,8c4e
21 Details,8c4e_E,"Actin, alpha skeletal muscle",Gallus gallus,377,,8c4e_K,Cell invasion protein SipA,Salmonella,261,,hetero,1119.27,105,1,8c4e
22 Details,8c4e_E,"Actin, alpha skeletal muscle",Gallus gallus,377,,8c4e_L,Cell invasion protein SipA,Salmonella,261,,hetero,916.11,69,1,8c4e
23 Details,8c4e_F,"Actin, alpha skeletal muscle",Gallus gallus,377,,8c4e_G,"Actin, alpha skeletal muscle",Gallus gallus,377,,homo,412.73,35,1,8c4e
24 Details,8c4e_F,"Actin, alpha skeletal muscle",Gallus gallus,377,,8c4e_H,"Actin, alpha skeletal muscle",Gallus gallus,377,,homo,1161.68,94,1,8c4e
25 Details,8c4e_F,"Actin, alpha skeletal muscle",Gallus gallus,377,,8c4e_K,Cell invasion protein SipA,Salmonella,261,,hetero,802.54,71,1,8c4e
26 Details,8c4e_F,"Actin, alpha skeletal muscle",Gallus gallus,377,,8c4e_L,Cell invasion protein SipA,Salmonella,261,,hetero,1143.04,110,1,8c4e
27 Details,8c4e_G,"Actin, alpha skeletal muscle",Gallus gallus,377,,8c4e_H,"Actin, alpha skeletal muscle",Gallus gallus,377,,homo,393.9,34,1,8c4e
28 Details,8c4e_G,"Actin, alpha skeletal muscle",Gallus gallus,377,,8c4e_K,Cell invasion protein SipA,Salmonella,261,,hetero,133.04,13,1,8c4e
29 Details,8c4e_G,"Actin, alpha skeletal muscle",Gallus gallus,377,,8c4e_L,Cell invasion protein SipA,Salmonella,261,,hetero,743.84,64,1,8c4e
30 Details,8c4e_H,"Actin, alpha skeletal muscle",Gallus gallus,377,,8c4e_L,Cell invasion protein SipA,Salmonella,261,,hetero,135.85,15,1,8c4e
7 Details,9ug2_A,Gelsolin,Homo sapiens,348,,9ug2_C,"Actin, alpha skeletal muscle",Oryctolagus cuniculus,370,,hetero,2028.96,174,1,9ug2
8 Details,9ug2_A,Gelsolin,Homo sapiens,348,,9ug2_E,"Actin, alpha skeletal muscle",Oryctolagus cuniculus,370,,hetero,692.07,56,1,9ug2
9 Details,9ug2_B,Gelsolin,Homo sapiens,348,,9ug2_D,"Actin, alpha skeletal muscle",Oryctolagus cuniculus,370,,hetero,2059.58,179,1,9ug2
10 Details,9ug2_B,Gelsolin,Homo sapiens,348,,9ug2_F,"Actin, alpha skeletal muscle",Oryctolagus cuniculus,370,,hetero,464.54,42,1,9ug2
11 Details,9ug2_C,"Actin, alpha skeletal muscle",Oryctolagus cuniculus,370,,9ug2_D,"Actin, alpha skeletal muscle",Oryctolagus cuniculus,370,,homo,331.89,32,1,9ug2
12 Details,9ug2_C,"Actin, alpha skeletal muscle",Oryctolagus cuniculus,370,,9ug2_E,"Actin, alpha skeletal muscle",Oryctolagus cuniculus,370,,homo,1134.26,100,1,9ug2
13 Details,9ug2_D,"Actin, alpha skeletal muscle",Oryctolagus cuniculus,370,,9ug2_E,"Actin, alpha skeletal muscle",Oryctolagus cuniculus,370,,homo,408.43,34,1,9ug2
14 Details,9ug2_D,"Actin, alpha skeletal muscle",Oryctolagus cuniculus,370,,9ug2_F,"Actin, alpha skeletal muscle",Oryctolagus cuniculus,370,,homo,1128.58,100,1,9ug2
15 Details,9ug2_E,"Actin, alpha skeletal muscle",Oryctolagus cuniculus,370,,9ug2_F,"Actin, alpha skeletal muscle",Oryctolagus cuniculus,370,,homo,388.88,34,1,9ug2
1 Details,5jlf_A,"Actin, alpha skeletal muscle",Oryctolagus cuniculus,375,,5jlf_B,"Actin, alpha skeletal muscle",Oryctolagus cuniculus,375,,homo,1135.66,105,1,5jlf
2 Details,5jlf_A,"Actin, alpha skeletal muscle",Oryctolagus cuniculus,375,,5jlf_C,"Actin, alpha skeletal muscle",Oryctolagus cuniculus,375,,homo,1133.43,104,1,5jlf
3 Details,5jlf_A,"Actin, alpha skeletal muscle",Oryctolagus cuniculus,375,,5jlf_D,"Actin, alpha skeletal muscle",Oryctolagus cuniculus,375,,homo,447.61,37,1,5jlf
4 Details,5jlf_A,"Actin, alpha skeletal muscle",Oryctolagus cuniculus,375,,5jlf_E,"Actin, alpha skeletal muscle",Oryctolagus cuniculus,375,,homo,457.22,39,1,5jlf
5 Details,5jlf_B,"Actin, alpha skeletal muscle",Oryctolagus cuniculus,375,,5jlf_D,"Actin, alpha skeletal muscle",Oryctolagus cuniculus,375,,homo,457.03,39,1,5jlf
6 Details,5jlf_C,"Actin, alpha skeletal muscle",Oryctolagus cuniculus,375,,5jlf_E,"Actin, alpha skeletal muscle",Oryctolagus cuniculus,375,,homo,459.57,39,1,5jlf
