interaction_id,chain_id,protein_name,organism,num_residues
1020,3j8a_E,"Actin, alpha skeletal muscle",Oryctolagus cuniculus,375
1021,3j8a_A,"Actin, alpha skeletal muscle",Oryctolagus cuniculus,375
1021,3j8a_E,"Actin, alpha skeletal muscle",Oryctolagus cuniculus,375
1022,3j8a_C,"Actin, alpha skeletal muscle",Oryctolagus cuniculus,375
1022,3j8a_E,"Actin, alpha skeletal muscle",Oryctolagus cuniculus,375
1024,7utj_B,"Actin, alpha skeletal muscle",Oryctolagus cuniculus,377
1024,7utj_C,"Actin, alpha skeletal muscle",Oryctolagus cuniculus,377
1025,7utj_B,"Actin, alpha skeletal muscle",Oryctolagus cuniculus,377
1025,7utj_D,"Actin, alpha skeletal muscle",Oryctolagus cuniculus,377
1026,7utj_B,"Actin, alpha skeletal muscle",Oryctolagus cuniculus,377
1026,7utj_G,Catenin alpha-1,Homo sapiens,889
1027,7utj_B,"Actin, alpha skeletal muscle",Oryctolagus cuniculus,377
1027,7utj_I,Catenin alpha-1,Homo sapiens,889
1033,8dnh_C,"Actin, cytoplasmic 1, N-terminally processed",Homo sapiens,375
1033,8dnh_D,"Actin, cytoplasmic 1, N-terminally processed",Homo sapiens,375
1036,8viz_F,"Actin, alpha skeletal muscle",Oryctolagus cuniculus,375
1036,8viz_G,Gelsolin,Homo sapiens,746
1037,7utj_A,"Actin, alpha skeletal muscle",Oryctolagus cuniculus,377
1037,7utj_B,"Actin, alpha skeletal muscle",Oryctolagus cuniculus,377
1038,7utj_A,"Actin, alpha skeletal muscle",Oryctolagus cuniculus,377
1038,7utj_C,"Actin, alpha skeletal muscle",Oryctolagus cuniculus,377
1039,7utj_A,"Actin, alpha skeletal muscle",Oryctolagus cuniculus,377
1039,7utj_H,Catenin alpha-1,Homo sapiens,889
104,7jh7_C,"Actin, alpha cardiac muscle 1",Sus scrofa,377
104,7jh7_H,Myosin-7,Sus scrofa,1935
1043,6iug_D,pollen F-actin,Zea mays,371
1043,6iug_E,pollen F-actin,Zea mays,371
1045,8dnh_B,"Actin, cytoplasmic 1, N-terminally processed",Homo sapiens,375
1045,8dnh_C,"Actin, cytoplasmic 1, N-terminally processed",Homo sapiens,375
1046,8dnh_B,"Actin, cytoplasmic 1, N-terminally processed",Homo sapiens,375
1046,8dnh_D,"Actin, cytoplasmic 1, N-terminally processed",Homo sapiens,375
1049,8viz_E,"Actin, alpha skeletal muscle",Oryctolagus cuniculus,375
1049,8viz_F,"Actin, alpha skeletal muscle",Oryctolagus cuniculus,375
105,7jh7_C,"Actin, alpha cardiac muscle 1",Sus scrofa,377
105,7jh7_E,"Actin, alpha cardiac muscle 1",Sus scrofa,377
1050,8viz_E,"Actin, alpha skeletal muscle",Oryctolagus cuniculus,375
1050,8viz_G,Gelsolin,Homo sapiens,746
1054,7uuw_F,"Actin, alpha skeletal muscle",Oryctolagus cuniculus,377
1054,7uuw_K,Alpha-catenin-like protein hmp-1,Caenorhabditis elegans,251
1058,6iug_C,pollen F-actin,Zea mays,371
1058,6iug_D,pollen F-actin,Zea mays,371
1059,6iug_C,pollen F-actin,Zea mays,371
1059,6iug_E,pollen F-actin,Zea mays,371
1060,8dnh_A,"Actin, cytoplasmic 1, N-terminally processed",Homo sapiens,375
1060,8dnh_B,"Actin, cytoplasmic 1, N-terminally processed",Homo sapiens,375
1061,8dnh_A,"Actin, cytoplasmic 1, N-terminally processed",Homo sapiens,375
1061,8dnh_C,"Actin, cytoplasmic 1, N-terminally processed",Homo sapiens,375
1064,8viz_D,"Actin, alpha skeletal muscle",Oryctolagus cuniculus,375
1064,8viz_E,"Actin, alpha skeletal muscle",Oryctolagus cuniculus,375
1065,8viz_D,"Actin, alpha skeletal muscle",Oryctolagus cuniculus,375
1065,8viz_F,"Actin, alpha skeletal muscle",Oryctolagus cuniculus,375
1066,8viz_D,"Actin, alpha skeletal muscle",Oryctolagus cuniculus,375
1066,8viz_G,Gelsolin,Homo sapiens,746
1069,7uuw_E,"Actin, alpha skeletal muscle",Oryctolagus cuniculus,377
1069,7uuw_F,"Actin, alpha skeletal muscle",Oryctolagus cuniculus,377
107,5jlf_B,"Actin, alpha skeletal muscle",Oryctolagus cuniculus,375
107,5jlf_D,"Actin, alpha skeletal muscle",Oryctolagus cuniculus,375
1070,7uuw_E,"Actin, alpha skeletal muscle",Oryctolagus cuniculus,377
1070,7uuw_L,Alpha-catenin-like protein hmp-1,Caenorhabditis elegans,251
1071,7uuw_E,"Actin, alpha skeletal muscle",Oryctolagus cuniculus,377
1071,7uuw_Z,Alpha-catenin-like protein hmp-1,Caenorhabditis elegans,251
1074,6iug_B,pollen F-actin,Zea mays,371
1074,6iug_C,pollen F-actin,Zea mays,371
1075,6iug_B,pollen F-actin,Zea mays,371
1075,6iug_D,pollen F-actin,Zea mays,371
1080,8viz_C,"Actin, alpha skeletal muscle",Oryctolagus cuniculus,375
1080,8viz_D,"Actin, alpha skeletal muscle",Oryctolagus cuniculus,375
1081,8viz_C,"Actin, alpha skeletal muscle",Oryctolagus cuniculus,375
1081,8viz_E,"Actin, alpha skeletal muscle",Oryctolagus cuniculus,375
1085,7uuw_D,"Actin, alpha skeletal muscle",Oryctolagus cuniculus,377
1085,7uuw_E,"Actin, alpha skeletal muscle",Oryctolagus cuniculus,377
1086,7uuw_D,"Actin, alpha skeletal muscle",Oryctolagus cuniculus,377
1086,7uuw_F,"Actin, alpha skeletal muscle",Oryctolagus cuniculus,377
1087,7uuw_D,"Actin, alpha skeletal muscle",Oryctolagus cuniculus,377
1087,7uuw_I,Alpha-catenin-like protein hmp-1,Caenorhabditis elegans,251
1088,7uuw_D,"Actin, alpha skeletal muscle",Oryctolagus cuniculus,377
1088,7uuw_K,Alpha-catenin-like protein hmp-1,Caenorhabditis elegans,251
1093,6iug_A,pollen F-actin,Zea mays,371
1093,6iug_B,pollen F-actin,Zea mays,371
1094,6iug_A,pollen F-actin,Zea mays,371
1094,6iug_C,pollen F-actin,Zea mays,371
1097,8viz_B,"Actin, alpha skeletal muscle",Oryctolagus cuniculus,375
1097,8viz_C,"Actin, alpha skeletal muscle",Oryctolagus cuniculus,375
1098,8viz_B,"Actin, alpha skeletal muscle",Oryctolagus cuniculus,375
1098,8viz_D,"Actin, alpha skeletal muscle",Oryctolagus cuniculus,375
11,6c1d_D,"Actin, alpha skeletal muscle",Oryctolagus cuniculus,375
11,6c1d_E,"Actin, alpha skeletal muscle",Oryctolagus cuniculus,375
110,8c4e_C,"Actin, alpha skeletal muscle",Gallus gallus,377
110,8c4e_D,"Actin, alpha skeletal muscle",Gallus gallus,377
1101,7uuw_C,"Actin, alpha skeletal muscle",Oryctolagus cuniculus,377
1101,7uuw_D,"Actin, alpha skeletal muscle",Oryctolagus cuniculus,377
1102,7uuw_C,"Actin, alpha skeletal muscle",Oryctolagus cuniculus,377
1102,7uuw_E,"Actin, alpha skeletal muscle",Oryctolagus cuniculus,377
1103,7uuw_C,"Actin, alpha skeletal muscle",Oryctolagus cuniculus,377
1103,7uuw_H,Alpha-catenin-like protein hmp-1,Caenorhabditis elegans,251
1104,7uuw_C,"Actin, alpha skeletal muscle",Oryctolagus cuniculus,377
1104,7uuw_Z,Alpha-catenin-like protein hmp-1,Caenorhabditis elegans,251
111,8c4e_C,"Actin, alpha skeletal muscle",Gallus gallus,377
111,8c4e_E,"Actin, alpha skeletal muscle",Gallus gallus,377
1111,8viz_A,"Actin, alpha skeletal muscle",Oryctolagus cuniculus,375
1111,8viz_B,"Actin, alpha skeletal muscle",Oryctolagus cuniculus,375
1112,8viz_A,"Actin, alpha skeletal muscle",Oryctolagus cuniculus,375
1112,8viz_C,"Actin, alpha skeletal muscle",Oryctolagus cuniculus,375
1114,7uuw_B,"Actin, alpha skeletal muscle",Oryctolagus cuniculus,377
1114,7uuw_C,"Actin, alpha skeletal muscle",Oryctolagus cuniculus,377
1115,7uuw_B,"Actin, alpha skeletal muscle",Oryctolagus cuniculus,377
1115,7uuw_D,"Actin, alpha skeletal muscle",Oryctolagus cuniculus,377
1116,7uuw_B,"Actin, alpha skeletal muscle",Oryctolagus cuniculus,377
1116,7uuw_G,Alpha-catenin-like protein hmp-1,Caenorhabditis elegans,251
1117,7uuw_B,"Actin, alpha skeletal muscle",Oryctolagus cuniculus,377
1117,7uuw_I,Alpha-catenin-like protein hmp-1,Caenorhabditis elegans,251
112,8c4e_C,"Actin, alpha skeletal muscle",Gallus gallus,377
112,8c4e_K,Cell invasion protein SipA,Salmonella,261
1125,7uuw_A,"Actin, alpha skeletal muscle",Oryctolagus cuniculus,377
1125,7uuw_B,"Actin, alpha skeletal muscle",Oryctolagus cuniculus,377
1126,7uuw_A,"Actin, alpha skeletal muscle",Oryctolagus cuniculus,377
1126,7uuw_C,"Actin, alpha skeletal muscle",Oryctolagus cuniculus,377
1127,7uuw_A,"Actin, alpha skeletal muscle",Oryctolagus cuniculus,377
1127,7uuw_H,Alpha-catenin-like protein hmp-1,Caenorhabditis elegans,251
113,8c4e_C,"Actin, alpha skeletal muscle",Gallus gallus,377
113,8c4e_M,Cell invasion protein SipA,Salmonella,261
1131,8thy_D,Actin,Saccharomyces,370
1131,8thy_E,Actin,Saccharomyces,370
1134,8rtt_D,"Actin, cytoplasmic 1, N-terminally processed",Homo sapiens,375
1134,8rtt_E,Cell division control protein 12,Schizosaccharomyces pombe,419
1135,8rtt_D,"Actin, cytoplasmic 1, N-terminally processed",Homo sapiens,375
1135,8rtt_F,Cell division control protein 12,Schizosaccharomyces pombe,419
1138,9fjo_C,"Actin, alpha skeletal muscle",Oryctolagus cuniculus,375
1138,9fjo_D,"Actin, alpha skeletal muscle",Oryctolagus cuniculus,375
114,8c4e_C,"Actin, alpha skeletal muscle",Gallus gallus,377
114,8c4e_N,Cell invasion protein SipA,Salmonella,261
1143,8thy_C,Actin,Saccharomyces,370
1143,8thy_D,Actin,Saccharomyces,370
1144,8thy_C,Actin,Saccharomyces,370
1144,8thy_E,Actin,Saccharomyces,370
1147,8rtt_C,"Actin, cytoplasmic 1, N-terminally processed",Homo sapiens,375
1147,8rtt_D,"Actin, cytoplasmic 1, N-terminally processed",Homo sapiens,375
1148,8rtt_C,"Actin, cytoplasmic 1, N-terminally processed",Homo sapiens,375
1148,8rtt_E,Cell division control protein 12,Schizosaccharomyces pombe,419
1150,9fjo_B,"Actin, alpha skeletal muscle",Oryctolagus cuniculus,375
1150,9fjo_C,"Actin, alpha skeletal muscle",Oryctolagus cuniculus,375
1151,9fjo_B,"Actin, alpha skeletal muscle",Oryctolagus cuniculus,375
1151,9fjo_D,"Actin, alpha skeletal muscle",Oryctolagus cuniculus,375
1154,8thy_B,Actin,Saccharomyces,370
1154,8thy_C,Actin,Saccharomyces,370
1155,8thy_B,Actin,Saccharomyces,370
1155,8thy_D,Actin,Saccharomyces,370
1157,8rtt_B,"Actin, cytoplasmic 1, N-terminally processed",Homo sapiens,375
1157,8rtt_C,"Actin, cytoplasmic 1, N-terminally processed",Homo sapiens,375
1158,8rtt_B,"Actin, cytoplasmic 1, N-terminally processed",Homo sapiens,375
1158,8rtt_D,"Actin, cytoplasmic 1, N-terminally processed",Homo sapiens,375
1159,9fjo_A,"Actin, alpha skeletal muscle",Oryctolagus cuniculus,375
1159,9fjo_B,"Actin, alpha skeletal muscle",Oryctolagus cuniculus,375
116,9kbx_A,Growth arrest-specific protein 2,Mus musculus,170
116,9kbx_L,"Actin, alpha skeletal muscle",Oryctolagus cuniculus,370
1160,9fjo_A,"Actin, alpha skeletal muscle",Oryctolagus cuniculus,375
1160,9fjo_C,"Actin, alpha skeletal muscle",Oryctolagus cuniculus,375
1163,8thy_A,Actin,Saccharomyces,370
1163,8thy_B,Actin,Saccharomyces,370
1164,8thy_A,Actin,Saccharomyces,370
1164,8thy_C,Actin,Saccharomyces,370
1165,8rtt_A,"Actin, cytoplasmic 1, N-terminally processed",Homo sapiens,375
1165,8rtt_B,"Actin, cytoplasmic 1, N-terminally processed",Homo sapiens,375
1166,8rtt_A,"Actin, cytoplasmic 1, N-terminally processed",Homo sapiens,375
1166,8rtt_C,"Actin, cytoplasmic 1, N-terminally processed",Homo sapiens,375
1169,8rv2_D,"Actin, alpha skeletal muscle",Oryctolagus cuniculus,375
1169,8rv2_E,Isoform 2 of Inverted formin-2,Homo sapiens,777
1170,8rv2_D,"Actin, alpha skeletal muscle",Oryctolagus cuniculus,375
1170,8rv2_F,Isoform 2 of Inverted formin-2,Homo sapiens,777
1177,8rv2_C,"Actin, alpha skeletal muscle",Oryctolagus cuniculus,375
1177,8rv2_D,"Actin, alpha skeletal muscle",Oryctolagus cuniculus,375
1178,8rv2_C,"Actin, alpha skeletal muscle",Oryctolagus cuniculus,375
1178,8rv2_E,Isoform 2 of Inverted formin-2,Homo sapiens,777
1184,8thx_D,Actin,Saccharomyces,370
1184,8thx_E,Actin,Saccharomyces,370
1187,9qfw_E,"Actin, cytoplasmic 1, N-terminally processed",Homo sapiens,374
1187,9qfw_H,Cofilin-1,Homo sapiens,166
1188,9qfw_E,"Actin, cytoplasmic 1, N-terminally processed",Homo sapiens,374
1188,9qfw_J,Cofilin-1,Homo sapiens,166
1189,9qfw_E,"Actin, cytoplasmic 1, N-terminally processed",Homo sapiens,374
1189,9qfw_P,"WD repeat-containing protein 1,Methylated-DNA--protein-cysteine methyltransferase",Homo sapiens,805
1190,9qfw_E,"Actin, cytoplasmic 1, N-terminally processed",Homo sapiens,374
1190,9qfw_Q,"WD repeat-containing protein 1,Methylated-DNA--protein-cysteine methyltransferase",Homo sapiens,805
1192,8rv2_B,"Actin, alpha skeletal muscle",Oryctolagus cuniculus,375
1192,8rv2_C,"Actin, alpha skeletal muscle",Oryctolagus cuniculus,375
1193,8rv2_B,"Actin, alpha skeletal muscle",Oryctolagus cuniculus,375
1193,8rv2_D,"Actin, alpha skeletal muscle",Oryctolagus cuniculus,375
12,6c1d_C,"Actin, alpha skeletal muscle",Oryctolagus cuniculus,375
12,6c1d_E,"Actin, alpha skeletal muscle",Oryctolagus cuniculus,375
120,8iai_5,Dematin actin binding protein,Sus scrofa,405
120,8iai_C,"Actin, cytoplasmic 1",Sus scrofa,375
1200,8thx_C,Actin,Saccharomyces,370
1200,8thx_D,Actin,Saccharomyces,370
1201,8thx_C,Actin,Saccharomyces,370
1201,8thx_E,Actin,Saccharomyces,370
1204,9qfw_D,"Actin, cytoplasmic 1, N-terminally processed",Homo sapiens,374
1204,9qfw_E,"Actin, cytoplasmic 1, N-terminally processed",Homo sapiens,374
1205,9qfw_D,"Actin, cytoplasmic 1, N-terminally processed",Homo sapiens,374
1205,9qfw_G,Cofilin-1,Homo sapiens,166
1206,9qfw_D,"Actin, cytoplasmic 1, N-terminally processed",Homo sapiens,374
1206,9qfw_I,Cofilin-1,Homo sapiens,166
1207,9qfw_D,"Actin, cytoplasmic 1, N-terminally processed",Homo sapiens,374
1207,9qfw_P,"WD repeat-containing protein 1,Methylated-DNA--protein-cysteine methyltransferase",Homo sapiens,805
1208,8rv2_A,"Actin, alpha skeletal muscle",Oryctolagus cuniculus,375
1208,8rv2_B,"Actin, alpha skeletal muscle",Oryctolagus cuniculus,375
1209,8rv2_A,"Actin, alpha skeletal muscle",Oryctolagus cuniculus,375
1209,8rv2_C,"Actin, alpha skeletal muscle",Oryctolagus cuniculus,375
1213,8thx_B,Actin,Saccharomyces,370
1213,8thx_C,Actin,Saccharomyces,370
1214,8thx_B,Actin,Saccharomyces,370
1214,8thx_D,Actin,Saccharomyces,370
1217,9qfw_C,"Actin, cytoplasmic 1, N-terminally processed",Homo sapiens,374
1217,9qfw_D,"Actin, cytoplasmic 1, N-terminally processed",Homo sapiens,374
1218,9qfw_C,"Actin, cytoplasmic 1, N-terminally processed",Homo sapiens,374
1218,9qfw_E,"Actin, cytoplasmic 1, N-terminally processed",Homo sapiens,374
1219,9qfw_C,"Actin, cytoplasmic 1, N-terminally processed",Homo sapiens,374
1219,9qfw_F,Cofilin-1,Homo sapiens,166
1220,9qfw_C,"Actin, cytoplasmic 1, N-terminally processed",Homo sapiens,374
1220,9qfw_H,Cofilin-1,Homo sapiens,166
1224,8thx_A,Actin,Saccharomyces,370
1224,8thx_B,Actin,Saccharomyces,370
1225,8thx_A,Actin,Saccharomyces,370
1225,8thx_C,Actin,Saccharomyces,370
1227,9qfw_B,"Actin, cytoplasmic 1, N-terminally processed",Homo sapiens,374
1227,9qfw_C,"Actin, cytoplasmic 1, N-terminally processed",Homo sapiens,374
1228,9qfw_B,"Actin, cytoplasmic 1, N-terminally processed",Homo sapiens,374
1228,9qfw_D,"Actin, cytoplasmic 1, N-terminally processed",Homo sapiens,374
1229,9qfw_B,"Actin, cytoplasmic 1, N-terminally processed",Homo sapiens,374
1229,9qfw_G,Cofilin-1,Homo sapiens,166
123,8iai_C,"Actin, cytoplasmic 1",Sus scrofa,375
123,8iai_D,"Actin, cytoplasmic 1",Sus scrofa,375
1232,8ru0_C,"Actin, alpha skeletal muscle",Oryctolagus cuniculus,375
1232,8ru0_D,"Actin, alpha skeletal muscle",Oryctolagus cuniculus,375
124,8iai_C,"Actin, cytoplasmic 1",Sus scrofa,375
124,8iai_E,"Actin, cytoplasmic 1",Sus scrofa,375
1241,9qfw_A,"Actin, cytoplasmic 1, N-terminally processed",Homo sapiens,374
1241,9qfw_B,"Actin, cytoplasmic 1, N-terminally processed",Homo sapiens,374
1242,9qfw_A,"Actin, cytoplasmic 1, N-terminally processed",Homo sapiens,374
1242,9qfw_C,"Actin, cytoplasmic 1, N-terminally processed",Homo sapiens,374
1243,9qfw_A,"Actin, cytoplasmic 1, N-terminally processed",Homo sapiens,374
1243,9qfw_F,Cofilin-1,Homo sapiens,166
1245,8ru0_A,"Actin, alpha skeletal muscle",Oryctolagus cuniculus,375
1245,8ru0_C,"Actin, alpha skeletal muscle",Oryctolagus cuniculus,375
125,8iai_C,"Actin, cytoplasmic 1",Sus scrofa,375
125,8iai_M,Spectrin beta chain,Sus scrofa,2148
1254,9qfq_E,"Actin, cytoplasmic 1, N-terminally processed",Homo sapiens,374
1254,9qfq_H,Cofilin-1,Homo sapiens,166
1255,9qfq_E,"Actin, cytoplasmic 1, N-terminally processed",Homo sapiens,374
1255,9qfq_J,Cofilin-1,Homo sapiens,166
1256,9qfq_E,"Actin, cytoplasmic 1, N-terminally processed",Homo sapiens,374
1256,9qfq_P,"WD repeat-containing protein 1,Methylated-DNA--protein-cysteine methyltransferase",Homo sapiens,805
1259,8ru0_A,"Actin, alpha skeletal muscle",Oryctolagus cuniculus,375
1259,8ru0_B,"Actin, alpha skeletal muscle",Oryctolagus cuniculus,375
126,8iai_C,"Actin, cytoplasmic 1",Sus scrofa,375
126,8iai_O,Spectrin beta chain,Sus scrofa,2148
1260,8ru0_B,"Actin, alpha skeletal muscle",Oryctolagus cuniculus,375
1260,8ru0_C,"Actin, alpha skeletal muscle",Oryctolagus cuniculus,375
1261,8ru0_B,"Actin, alpha skeletal muscle",Oryctolagus cuniculus,375
1261,8ru0_D,"Actin, alpha skeletal muscle",Oryctolagus cuniculus,375
127,8iai_C,"Actin, cytoplasmic 1",Sus scrofa,375
127,8iai_Y,Tropomodulin-1,Sus scrofa,359
1271,9qfq_D,"Actin, cytoplasmic 1, N-terminally processed",Homo sapiens,374
1271,9qfq_G,Cofilin-1,Homo sapiens,166
1272,9qfq_D,"Actin, cytoplasmic 1, N-terminally processed",Homo sapiens,374
1272,9qfq_I,Cofilin-1,Homo sapiens,166
1273,9qfq_D,"Actin, cytoplasmic 1, N-terminally processed",Homo sapiens,374
1273,9qfq_P,"WD repeat-containing protein 1,Methylated-DNA--protein-cysteine methyltransferase",Homo sapiens,805
1276,9qfq_D,"Actin, cytoplasmic 1, N-terminally processed",Homo sapiens,374
1276,9qfq_E,"Actin, cytoplasmic 1, N-terminally processed",Homo sapiens,374
1280,8uee_B,Cell invasion protein SipA,Salmonella enterica subsp. enterica serovar Typhimurium str. LT2,261
1280,8uee_M,"Actin, alpha skeletal muscle",Oryctolagus cuniculus,375
1281,8uee_A,Cell invasion protein SipA,Salmonella enterica subsp. enterica serovar Typhimurium str. LT2,261
1281,8uee_M,"Actin, alpha skeletal muscle",Oryctolagus cuniculus,375
1287,9qfq_C,"Actin, cytoplasmic 1, N-terminally processed",Homo sapiens,374
1287,9qfq_F,Cofilin-1,Homo sapiens,166
1288,9qfq_C,"Actin, cytoplasmic 1, N-terminally processed",Homo sapiens,374
1288,9qfq_H,Cofilin-1,Homo sapiens,166
129,7jh7_B,"Actin, alpha cardiac muscle 1",Sus scrofa,377
129,7jh7_F,Myosin-7,Sus scrofa,1935
1291,9qfq_C,"Actin, cytoplasmic 1, N-terminally processed",Homo sapiens,374
1291,9qfq_D,"Actin, cytoplasmic 1, N-terminally processed",Homo sapiens,374
1292,9qfq_C,"Actin, cytoplasmic 1, N-terminally processed",Homo sapiens,374
1292,9qfq_E,"Actin, cytoplasmic 1, N-terminally processed",Homo sapiens,374
1294,8uee_L,"Actin, alpha skeletal muscle",Oryctolagus cuniculus,375
1294,8uee_M,"Actin, alpha skeletal muscle",Oryctolagus cuniculus,375
1295,8uee_B,Cell invasion protein SipA,Salmonella enterica subsp. enterica serovar Typhimurium str. LT2,261
1295,8uee_L,"Actin, alpha skeletal muscle",Oryctolagus cuniculus,375
1296,8uee_A,Cell invasion protein SipA,Salmonella enterica subsp. enterica serovar Typhimurium str. LT2,261
1296,8uee_L,"Actin, alpha skeletal muscle",Oryctolagus cuniculus,375
130,7jh7_B,"Actin, alpha cardiac muscle 1",Sus scrofa,377
130,7jh7_G,Myosin-7,Sus scrofa,1935
1303,9qfq_B,"Actin, cytoplasmic 1, N-terminally processed",Homo sapiens,374
1303,9qfq_G,Cofilin-1,Homo sapiens,166
1305,9qfq_B,"Actin, cytoplasmic 1, N-terminally processed",Homo sapiens,374
1305,9qfq_C,"Actin, cytoplasmic 1, N-terminally processed",Homo sapiens,374
1306,9qfq_B,"Actin, cytoplasmic 1, N-terminally processed",Homo sapiens,374
1306,9qfq_D,"Actin, cytoplasmic 1, N-terminally processed",Homo sapiens,374
1309,8uee_K,"Actin, alpha skeletal muscle",Oryctolagus cuniculus,375
1309,8uee_L,"Actin, alpha skeletal muscle",Oryctolagus cuniculus,375
131,7jh7_B,"Actin, alpha cardiac muscle 1",Sus scrofa,377
131,7jh7_D,"Actin, alpha cardiac muscle 1",Sus scrofa,377
1310,8uee_K,"Actin, alpha skeletal muscle",Oryctolagus cuniculus,375
1310,8uee_M,"Actin, alpha skeletal muscle",Oryctolagus cuniculus,375
1311,8uee_B,Cell invasion protein SipA,Salmonella enterica subsp. enterica serovar Typhimurium str. LT2,261
1311,8uee_K,"Actin, alpha skeletal muscle",Oryctolagus cuniculus,375
1312,8uee_C,Cell invasion protein SipA,Salmonella enterica subsp. enterica serovar Typhimurium str. LT2,261
1312,8uee_K,"Actin, alpha skeletal muscle",Oryctolagus cuniculus,375
1313,8uee_A,Cell invasion protein SipA,Salmonella enterica subsp. enterica serovar Typhimurium str. LT2,261
1313,8uee_K,"Actin, alpha skeletal muscle",Oryctolagus cuniculus,375
1319,9qfq_A,"Actin, cytoplasmic 1, N-terminally processed",Homo sapiens,374
1319,9qfq_F,Cofilin-1,Homo sapiens,166
132,5jlf_A,"Actin, alpha skeletal muscle",Oryctolagus cuniculus,375
132,5jlf_B,"Actin, alpha skeletal muscle",Oryctolagus cuniculus,375
1320,9qfq_A,"Actin, cytoplasmic 1, N-terminally processed",Homo sapiens,374
1320,9qfq_B,"Actin, cytoplasmic 1, N-terminally processed",Homo sapiens,374
1321,9qfq_A,"Actin, cytoplasmic 1, N-terminally processed",Homo sapiens,374
1321,9qfq_C,"Actin, cytoplasmic 1, N-terminally processed",Homo sapiens,374
1325,8uee_J,"Actin, alpha skeletal muscle",Oryctolagus cuniculus,375
1325,8uee_K,"Actin, alpha skeletal muscle",Oryctolagus cuniculus,375
1326,8uee_C,Cell invasion protein SipA,Salmonella enterica subsp. enterica serovar Typhimurium str. LT2,261
1326,8uee_J,"Actin, alpha skeletal muscle",Oryctolagus cuniculus,375
1327,8uee_D,Cell invasion protein SipA,Salmonella enterica subsp. enterica serovar Typhimurium str. LT2,261
1327,8uee_J,"Actin, alpha skeletal muscle",Oryctolagus cuniculus,375
133,5jlf_A,"Actin, alpha skeletal muscle",Oryctolagus cuniculus,375
133,5jlf_C,"Actin, alpha skeletal muscle",Oryctolagus cuniculus,375
1337,9qfo_F,"Actin, cytoplasmic 1, N-terminally processed",Homo sapiens,374
1337,9qfo_J,Cofilin-1,Homo sapiens,166
134,5jlf_A,"Actin, alpha skeletal muscle",Oryctolagus cuniculus,375
134,5jlf_D,"Actin, alpha skeletal muscle",Oryctolagus cuniculus,375
1341,8uee_I,"Actin, alpha skeletal muscle",Oryctolagus cuniculus,375
1341,8uee_J,"Actin, alpha skeletal muscle",Oryctolagus cuniculus,375
1342,8uee_I,"Actin, alpha skeletal muscle",Oryctolagus cuniculus,375
